Date,Close/Last,Volume,Open,High,Low
10/05/2023,$143.80,5205662,$145.68,$146.0943,$143.69
10/04/2023,$145.97,4727849,$145.59,$146.31,$144.93
10/03/2023,$145.49,4670620,$145.17,$146.49,$145.01
10/02/2023,$145.19,5153808,$144.78,$145.60,$143.90
09/29/2023,$145.86,6683279,$146.54,$146.77,$144.82
09/28/2023,$146.34,6237072,$147.815,$147.98,$145.68
09/27/2023,$147.34,5403675,$149.42,$149.70,$146.63
09/26/2023,$149.32,6366545,$149.98,$150.36,$148.785
09/25/2023,$150.66,5527129,$151.18,$151.28,$150.02
09/22/2023,$151.58,6328163,$152.44,$153.34,$151.38
09/21/2023,$152.14,5098146,$153.45,$153.71,$152.065
09/20/2023,$153.47,5446571,$153.77,$154.775,$153.36
09/19/2023,$153.60,4704209,$153.75,$154.06,$151.7433
09/18/2023,$154.05,3536490,$154.45,$154.475,$153.505
09/15/2023,$153.47,10262390,$154.03,$155.32,$153.23
09/14/2023,$154.77,4606909,$153.845,$154.92,$153.37
09/13/2023,$153.09,4040670,$151.975,$153.59,$151.66
09/12/2023,$152.03,4537794,$154.99,$155.15,$151.57
09/11/2023,$154.75,4288731,$153.33,$155.10,$153.08
09/08/2023,$152.93,3384760,$153.42,$153.455,$152.35
09/07/2023,$153.59,4825042,$152.485,$154.19,$152.37
09/06/2023,$152.14,3877460,$152.29,$152.45,$151.54
09/05/2023,$152.44,5097037,$153.80,$154.85,$152.3975
09/01/2023,$154.51,4126437,$154.90,$155.28,$153.56
08/31/2023,$154.34,5451433,$154.12,$155.16,$153.83
08/30/2023,$154.04,3712241,$154.10,$154.865,$153.71
08/29/2023,$153.87,4034627,$153.95,$154.04,$152.03
08/28/2023,$153.78,3614733,$153.71,$154.37,$153.05
08/25/2023,$153.54,3541524,$153.40,$154.08,$152.46
08/24/2023,$152.54,4089013,$152.55,$154.68,$152.48
08/23/2023,$153.25,4522673,$152.47,$153.48,$152.47
08/22/2023,$151.83,4195967,$151.42,$152.1538,$150.93
08/21/2023,$151.77,4504747,$152.09,$152.78,$151.26
08/18/2023,$152.54,5448262,$151.62,$152.89,$151.17
08/17/2023,$152.11,6419615,$153.21,$153.555,$151.79
08/16/2023,$153.21,6356849,$154.76,$155.73,$152.87
08/15/2023,$154.79,6921105,$155.79,$155.97,$154.46
